precision,recall,threshold
0.03478314255699415,0.9998039215686274,0.07884769400050519
0.03478361711416721,0.9998039215686274,0.07923897496340172
0.03478812605322945,0.9998039215686274,0.07923961523704268
0.03478836339819338,0.9998039215686274,0.07924742067732256
0.034790262274501244,0.9998039215686274,0.07936071917121211
0.034791923961325626,0.9998039215686274,0.07977053254138965
0.034795247811222646,0.9998039215686274,0.0799890876332807
0.03479548525337446,0.9998039215686274,0.08035360785472001
0.03479596014740003,0.9998039215686274,0.08038842826899985
0.034799284768573496,0.9998039215686274,0.08063708825208747
0.034799522265824945,0.9998039215686274,0.08125365562976779
0.03480023477703007,0.9998039215686274,0.08137813620834511
0.03480094731741276,0.9998039215686274,0.08156918547897639
0.03480118483735787,0.9998039215686274,0.0828036071411886
0.03480142236054519,0.9998039215686274,0.0834261969532525
0.03480189741664676,0.9998039215686274,0.08343705402155001
0.034802134949561137,0.9998039215686274,0.08804734358230652
0.0348026100251174,0.9998039215686274,0.08888937003753944
0.03480403532961107,0.9998039215686274,0.08917030837157512
0.034805460750853244,0.9998039215686274,0.08921452797139302
0.0348061735052595,0.9998039215686274,0.0895406237008413
0.03480641109654871,0.9998039215686274,0.08981401173888016
0.034806648691081604,0.9998039215686274,0.0902052927017767
0.03480736149414303,0.9998039215686274,0.09021373841569756
0.03480759910165129,0.9998039215686274,0.09289475239412215
0.034807836712403575,0.9998039215686274,0.10052041769055114
0.034808074326399936,0.9998039215686274,0.10113570852069642
0.03481544196971145,0.9998039215686274,0.1014166468547321
0.03483518360375747,0.9998039215686274,0.10146086645455
0.03484113426716775,0.9998039215686274,0.10178696218399828
0.03484280081725809,0.9998039215686274,0.10206035022203715
0.034843038908857336,0.9998039215686274,0.10230289290978294
0.03486209678522104,0.9998039215686274,0.10245163118493368
0.03486352696641505,0.9998039215686274,0.10257337539274407
0.03486376534135585,0.9998039215686274,0.1025838312438186
0.034885709789755276,0.9998039215686274,0.10262805084363652
0.03491007181930837,0.9998039215686274,0.10295414657308478
0.034922026422666785,0.9998039215686274,0.10317663690279298
0.034926092853130954,0.9998039215686274,0.10322753461112366
0.034928246052676644,0.9998039215686274,0.1036188155740202
0.0349330318912068,0.9998039215686274,0.10362726128794104
0.034935664661468684,0.9998039215686274,0.10374055978183057
0.03493997368709571,0.9998039215686274,0.10406762761052503
0.034940213108575736,0.9998039215686274,0.10412064418527923
0.03494045253333699,0.9998039215686274,0.1041503731520081
0.034945481211406795,0.9998039215686274,0.10446631185129975
0.03494572070837217,0.9998039215686274,0.10452182782102554
0.03494596020862032,0.9998039215686274,0.10459079242987707
0.03494619971215133,0.9998039215686274,0.10473344846533848
0.03494739727905144,0.9998039215686274,0.10476826887961833
0.03494787632879379,0.9998039215686274,0.10508260104042921
0.0349485949280329,0.9998039215686274,0.10563349624038626
0.034949792659104154,0.9998039215686274,0.10575797681896358
0.03495051133715351,0.9998039215686274,0.10612346462299678
0.034950750903071474,0.9998039215686274,0.10695538057742782
0.03495099047227363,0.9998039215686274,0.10715544983400839
0.03495123004476006,0.9998039215686274,0.10718344775180709
0.034951709199585984,0.9998039215686274,0.10865606084953666
0.03496129505577763,0.9998039215686274,0.10893699918357234
0.03498624290703499,0.9998039215686274,0.10898121878339025
0.0350105052114088,0.9998039215686274,0.10930731451283852
0.03501531362019475,0.9998039215686274,0.10936519093335141
0.03501555407530507,0.9998039215686274,0.10952980484254671
0.03501675640039556,0.9998039215686274,0.1095356244870403
0.035016996875321914,0.9998039215686274,0.10954048997836112
0.03501723735355117,0.9998039215686274,0.10954381752701081
0.03502036387112726,0.9998039215686274,0.10959318345675034
0.03502060439560439,0.9998039215686274,0.10982324523862318
0.035074806534823734,0.9998039215686274,0.1098247558610465
0.03507721941320125,0.9998039215686274,0.1098689754608644
0.03508470144632364,0.9998039215686274,0.10996232863932746
