threshold,precision,recall,f1,cost,TP,FP,FN,TN,f_beta_0.5,f_beta_1.0,f_beta_2.0
0.4799598393574297,0.7674174960712414,0.2872549019607843,0.4180339563418462,4079.0,1465,444,3635,142091,0.5751413316582915,0.4180339563418462,0.32834282128289033
0.48196385542168674,0.7710970464135021,0.2866666666666667,0.4179531160663237,4072.0,1462,434,3638,142101,0.576316619362977,0.4179531160663237,0.32786149982059565
0.4839678714859438,0.775412453432677,0.28568627450980394,0.4175383292735349,4065.0,1457,422,3643,142113,0.5774413443246671,0.4175383292735349,0.3269895417209031
0.48597188755020077,0.7801075268817205,0.2845098039215686,0.4169540229885057,4058.0,1451,409,3649,142126,0.5785486443381181,0.4169540229885057,0.32592093441150044
0.4879759036144578,0.782560706401766,0.2780392156862745,0.41030092592592593,4076.0,1418,394,3682,142141,0.5741820537738905,0.41030092592592593,0.3191968305420494
0.48997991967871485,0.7846410684474123,0.27647058823529413,0.40887342322749026,4077.0,1410,387,3690,142148,0.57373046875,0.40887342322749026,0.3176104879037708
0.4919839357429719,0.7894137734775185,0.2719607843137255,0.4045500947936415,4083.0,1387,370,3713,142165,0.5718172823218997,0.4045500947936415,0.31299363632260685
0.4939879518072289,0.7917620137299771,0.27137254901960783,0.40420560747663553,4080.0,1384,364,3716,142171,0.57227919285478,0.40420560747663553,0.3124435614953946
0.4959919678714859,0.7917620137299771,0.27137254901960783,0.40420560747663553,4080.0,1384,364,3716,142171,0.57227919285478,0.40420560747663553,0.3124435614953946
0.49799598393574296,0.7939150401836969,0.2711764705882353,0.4042677579655072,4076.0,1383,359,3717,142176,0.5730029830957906,0.4042677579655072,0.3123024117062596
0.5,0.7947976878612717,0.2696078431372549,0.40263543191800877,4080.0,1375,355,3725,142180,0.571963394342762,0.40263543191800877,0.3106642566651604
0.502004016064257,0.794679005205321,0.26941176470588235,0.4024015229169717,4081.0,1374,355,3726,142180,0.5717376830892145,0.4024015229169717,0.31045234759817436
0.5040080321285141,0.7981165391406709,0.26588235294117646,0.39888218855714075,4087.0,1356,343,3744,142192,0.569939475453934,0.39888218855714075,0.3068012127245576
0.506012048192771,0.7998815867377146,0.2649019607843137,0.3979967594638385,4087.0,1351,338,3749,142197,0.5697537112010795,0.3979967594638385,0.3058083208836977
0.508016064257028,0.800711743772242,0.2647058823529412,0.3978779840848807,4086.0,1350,336,3750,142199,0.5699088145896657,0.3978779840848807,0.3056234718826406
0.5100200803212851,0.8011869436201781,0.2647058823529412,0.39793662490788506,4085.0,1350,335,3750,142200,0.5701013513513514,0.39793662490788506,0.3056373103916686
0.5120240963855421,0.8029761904761905,0.26450980392156864,0.3979351032448378,4082.0,1349,331,3751,142204,0.5706429780033841,0.3979351032448378,0.3054800724637682
0.5140281124497992,0.80622009569378,0.2643137254901961,0.3981098641464855,4076.0,1348,324,3752,142211,0.5717678995588734,0.3981098641464855,0.3053642624139181
